City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
296,maniitsoq,12,GL,1526229280,100,65.42,-52.9,30.99,10.74
297,coralville,90,US,1526226900,87,41.68,-91.58,55.4,6.93
298,palmer,20,AU,1526227200,93,-34.85,139.16,44.6,5.82
299,mount isa,0,AU,1526227200,38,-20.73,139.49,59.0,9.17
300,severo-kurilsk,0,RU,1526229215,100,50.68,156.12,34.5,1.79
301,codrington,0,AU,1526229218,85,-28.95,153.24,48.54,5.14
302,birjand,90,IR,1526227200,82,32.86,59.22,55.4,18.34
303,kentau,0,KZ,1526229679,82,43.52,68.5,48.99,3.47
304,temir,0,KZ,1526229679,37,49.14,57.13,57.09,15.88
305,alyangula,20,AU,1526229679,98,-13.85,136.42,78.96,21.7
306,saint anthony,1,US,1526226960,66,43.97,-111.68,50.0,5.82
307,siderno,0,IT,1526226900,68,38.28,16.3,71.6,8.05
308,port hedland,0,AU,1526227200,20,-20.31,118.58,66.2,9.17
309,broken hill,88,AU,1526229680,91,-31.97,141.45,46.07,6.15
310,homer,1,US,1526226780,86,59.64,-151.54,39.2,9.4
311,itaueira,8,BR,1526229491,71,-7.6,-43.03,84.77,8.39
312,bundaberg,0,AU,1526229680,100,-24.87,152.35,64.29,12.86
313,ende,44,ID,1526229680,100,-8.84,121.65,81.3,13.76
314,kisangani,36,CD,1526229681,89,0.52,25.21,78.2,3.13
315,shingu,76,JP,1526229681,98,33.72,135.99,66.72,7.72
316,shihezi,80,CN,1526229646,84,44.3,86.03,61.55,7.16
317,ocos,40,GT,1526227200,70,14.51,-92.19,84.2,6.93
318,masty,40,BY,1526227200,35,53.42,24.54,71.6,17.9
319,sao joao da barra,90,BR,1526223600,83,-21.64,-41.05,73.4,13.87
320,mitsamiouli,20,KM,1526227200,78,-11.38,43.28,82.4,6.93
321,san patricio,0,PY,1526229230,53,-26.98,-56.83,77.43,3.24
322,batagay-alyta,64,RU,1526229681,85,67.8,130.41,14.7,2.91
323,torbay,20,CA,1526227200,32,47.66,-52.73,53.6,21.92
324,blagoyevo,0,RU,1526229682,59,63.37,47.92,50.34,8.16
325,jardim,0,BR,1526229239,57,-21.48,-56.15,80.04,4.59
326,aviles,75,ES,1526227200,76,43.55,-5.92,55.4,18.34
327,praia da vitoria,75,PT,1526227200,68,38.73,-27.07,64.4,10.4
328,kieta,68,PG,1526229682,100,-6.22,155.63,78.15,2.13
329,vanavara,32,RU,1526229263,92,60.35,102.28,31.08,2.57
330,lengshuitan,8,CN,1526229682,96,26.41,111.6,71.04,5.37
331,novyy urengoy,88,RU,1526229202,91,66.08,76.63,27.75,12.97
332,neuquen,0,AR,1526227200,58,-38.95,-68.06,57.2,4.36
333,makakilo city,1,US,1526227020,83,21.35,-158.09,75.2,3.36
